A/Georgia/F32551/2012|EPI_ISL_146809|2012-02-01
A/Georgia/M5081/2012|EPI_ISL_146773|2012-02-01
A/Georgia/M5081/2012|EPI_ISL_146774|2012-02-01
A/Georgia/M5081/2012|EPI_ISL_146775|2012-02-01
A/Arizona/07/2017|EPI_ISL_252742|2017-02-05
A/Washington/109/2016|EPI_ISL_248359|2016-12-29
A/North_Carolina/28/2017|EPI_ISL_268432|2017-02-26
A/Arizona/7958/2019|EPI_ISL_369734|2019-01-10
A/Ohio/03/2021|EPI_ISL_6307001|2021-10-07
A/New_York/PV42740/2022|EPI_ISL_16044205|2022-03-26
A/South_Carolina/16/2022|EPI_ISL_16200622|2022-11-08
A/California/90/2022|EPI_ISL_13286911|2022-04-26
A/Rhode_Island/24/2023|EPI_ISL_17857208|2023-04-24
A/California/IVYG43Q23X8/2023|EPI_ISL_18005673|2023-02-07
A/Michigan/UOM10048214353/2022|EPI_ISL_17185954|2022-11-02
A/Idaho/56/2022|EPI_ISL_16200844|2022-11-19
A/Tennessee/07/2023|EPI_ISL_17559624|2023-03-20
A/Georgia/IVYG43Q54Z7/2023|EPI_ISL_17983135|2023-04-16
A/Connecticut/IVYG43Q22Z4/2023|EPI_ISL_18005671|2023-02-13
A/California/44/2023|EPI_ISL_17625857|2023-03-18
A/District_Of_Columbia/14/2023|EPI_ISL_17659272|2023-03-31
A/Wisconsin/40/2023|EPI_ISL_17625848|2023-04-12
A/Oregon/24/2023|EPI_ISL_17392728|2023-02-27
A/Nevada/52/2022|EPI_ISL_16764789|2022-12-22
A/Arizona/80/2022|EPI_ISL_16830265|2022-12-29
A/Minnesota/22/2023|EPI_ISL_17625860|2023-04-07
A/Florida/63/2014|EPI_ISL_169653|2014-11-07
A/New_Hampshire/01/2015|EPI_ISL_237268|2015-01-07
A/New_York/PV42740/2022|EPI_ISL_16044205|2022-03-26
A/Missouri/61/2022|EPI_ISL_16766611|2022-12-12
